"var.x"	"var.y"	"prev"	"estimate"	"lower"	"upper"	"se"	"p.value"	"n"	"estimate.infl"	"lower.infl"	"upper.infl"	"se.infl"	"p.value.infl"	"n.infl"	"message"	"q.value"	"q.value.infl"
"Senegalimassilia_faecalis____HG3A.0467"	"syssd_all"	11.3125845737483	0.25661844550432	0.130559444958673	0.382677446049968	0.0642952109904894	6.70449517692103e-05	3695	0.23620032417945	0.109678315866494	0.362722332492407	0.064531357638032	0.000255622524655984	3694	NA	0.0118804128259547	0.0078674932588564
"Clostridiales_sp.____HG3A.0136"	"syssd_all"	78.5385656292287	-0.248947522223212	-0.377086040348121	-0.120809004098304	0.0653558494291432	0.00014181346276915	3695	-0.235739345525462	-0.364302801700322	-0.107175889350602	0.0655725788756054	0.000328662411277698	3694	NA	0.0118804128259547	0.00910394879239223
"Anaerobutyricum_hallii____HG3A.0012"	"syssd_all"	98.4573748308525	0.244573641057111	0.113763675979682	0.37538360613454	0.0667183958932492	0.000250190951831729	3695	0.224501466901529	0.0939646512713697	0.355038282531688	0.0665790722632484	0.000754310234030065	3694	NA	0.0118804128259547	0.0107922987307758
"Dorea_formicigenerans____HG3A.0006"	"syssd_all"	97.807848443843	0.233453651563941	0.10349830245023	0.363409000677652	0.0662825070359264	0.000433498512209806	3695	0.26141254526409	0.129677316746066	0.393147773782113	0.067190311459464	0.000101807060467783	3694	NA	0.0118804128259547	0.00476070859080657
"Clostridiales_sp.____HG3A.1445"	"syssd_all"	3.51826792963464	-0.209141408305684	-0.333901078298369	-0.0843817383129988	0.0636324996276553	0.00102345821245132	3695	-0.286783044964037	-0.428055687834246	-0.145510402093828	0.0720547797421726	7.02641752810938e-05	3694	NA	0.0196965332355018	0.00476070859080657
"Ruminococcaceae_sp.____HG3A.0072"	"syssd_all"	85.0879566982409	-0.214517741827633	-0.343663873783811	-0.0853716098714552	0.0658697734139281	0.00113770589085931	3695	-0.228432687049371	-0.357735226272234	-0.0991301478265085	0.0659495412170259	0.00053896482006711	3694	NA	0.0196965332355018	0.00933082844741184
"Clostridiales_sp.____HG3A.0751"	"syssd_all"	7.28010825439783	-0.225073511239252	-0.36506403328369	-0.0850829891948149	0.0714008528748931	0.00163357820017737	3695	-0.247789873450972	-0.394787414310276	-0.100792332591669	0.0749747099938463	0.000959207729192567	3694	NA	0.0208090252578747	0.0110708558744309
"Blautia_sp._SG_772____HG3A.0063"	"syssd_all"	88.1732070365359	0.207721996551226	0.0780373599432829	0.337406633159169	0.0661444326612227	0.00170077501762184	3695	0.193221174739003	0.0622854532324885	0.324156896245517	0.0667825304450637	0.00383537083614237	3694	NA	0.0208090252578747	0.0160924608955593
"Collinsella_aerofaciens____HG3A.0019"	"syssd_all"	92.3680649526387	0.208627471532457	0.0771243639401792	0.340130579124735	0.0670719267323467	0.0018824110898999	3695	0.222879760077608	0.0907786271100347	0.354980893045181	0.0673769375746362	0.000949111000465731	3694	NA	0.0208571148760909	0.0110708558744309
"Odoribacter_splanchnicus____HG3A.0041"	"syssd_all"	92.7740189445196	-0.202949032633651	-0.331976166726401	-0.0739218985409013	0.0658090796697018	0.00205862623873824	3695	-0.212902972025681	-0.341746057766993	-0.0840598862843697	0.0657152012999524	0.00120717258509272	3694	NA	0.0211199803011293	0.0123846965211364
